Age,Workclass,Education,Marital_status,Occupation,Race,Sex,Hours_per_week,Native_country
0.000602284,0.021562645,0.109266295,0.195490626,0.024164105,0.004289387,0.003212425,0.009808001,0.015765755
7.54E-05,0.021749544,0.108662464,0.194886503,0.024132604,0.004495226,0.00345352,0.009839566,0.015877084
0.000136666,0.021776878,0.10869426,0.194803937,0.024132264,0.004490074,0.00345283,0.009773644,0.01596227
0.000270229,0.02176005,0.10838504,0.194697815,0.024144328,0.004521441,0.003500104,0.00981861,0.01592392
0.000939138,0.021639433,0.108743793,0.195967822,0.024071142,0.004307878,0.00328674,0.009607554,0.015710333
0.000179888,0.021710036,0.10856773,0.195031325,0.0241308,0.004497172,0.003451686,0.0097725,0.015913653
0.000182983,0.021739823,0.108500299,0.194902304,0.024176659,0.004509375,0.003497657,0.009809051,0.015926294
7.87E-05,0.021778089,0.108593393,0.194701572,0.024166523,0.004521954,0.003503968,0.009822931,0.015874745
0.001097677,0.021845639,0.107836214,0.195113605,0.024582214,0.004474987,0.0034576,0.009783264,0.015949583
0.000872683,0.021772807,0.108604312,0.194604105,0.024094959,0.004516673,0.003505736,0.009871854,0.01591279
4.99E-05,0.021762319,0.108569738,0.19469989,0.02418666,0.004516427,0.003506642,0.009811589,0.015926626
0.000409156,0.021814095,0.108045358,0.195681847,0.024127412,0.004484944,0.00338943,0.009710244,0.015872453
0.000411417,0.021682736,0.108045721,0.195866416,0.024191985,0.004465356,0.003358377,0.009753545,0.015825116
0.00093179,0.021835252,0.108412813,0.194718902,0.024058849,0.004546989,0.003467537,0.009844292,0.016073972
0.000108947,0.021738169,0.108598545,0.194625933,0.024181871,0.004519909,0.003485788,0.009859244,0.015953194
5.62E-06,0.021781833,0.108587116,0.194719617,0.024176065,0.004519474,0.003496979,0.00982277,0.015920544
0.000663098,0.021813341,0.108538055,0.194775778,0.024140661,0.004443658,0.00346501,0.009663128,0.016052061
9.47E-05,0.021707176,0.10852331,0.194814642,0.024176361,0.004518385,0.003505169,0.009837729,0.0159722
2.91E-05,0.021793772,0.108572763,0.194739782,0.024183333,0.004514655,0.003499595,0.009814331,0.01591711
0.000146565,0.021776288,0.108574746,0.19457947,0.024181272,0.004520154,0.00350218,0.009815867,0.015925676
4.59E-05,0.021790432,0.108640919,0.19466846,0.024225696,0.004516287,0.003474755,0.009848973,0.015898349
0.000372191,0.021784604,0.108568635,0.194709352,0.024040919,0.004528469,0.003494568,0.009759081,0.015880441
